Team,Standing,League Name,Year
Eks Gonna Give It To Ya!,Didn't Make Playoffs,Brown Munde,2023
Bye,Didn't Make Playoffs,Brown Munde,2023
Prahlad's Ghost,Champion,Pennoni Younglings,2024
The Golden Receivers,2nd,Pennoni Younglings,2024
Prahlad's Ghost,2nd,Pennoni Younglings,2024
Pho_King,3rd,Pennoni Younglings,2024
Partners for What's Possible,3rd,Pennoni Younglings,2024
Prahlad's Ghost,3rd,Pennoni Younglings,2024
The Golden Receivers,3rd,Pennoni Younglings,2024
PAI Alcoholics Anonymous ,Didn't Make Playoffs,Pennoni Younglings,2024
19th St Halal Cart,Didn't Make Playoffs,Pennoni Younglings,2024
Bye,Didn't Make Playoffs,Pennoni Younglings,2024
Came and Wentz,Didn't Make Playoffs,Pennoni Younglings,2024
The Chase is on,Champion,Game of Yards!,2024
The Chase is on,2nd,Game of Yards!,2024
Team HebAchi,2nd,Game of Yards!,2024
Groot-o-Matic,Didn't Make Playoffs,Game of Yards!,2024
Cooper Troopers,Didn't Make Playoffs,Game of Yards!,2024
Pain Inflictors,Didn't Make Playoffs,Game of Yards!,2024
Bye,Didn't Make Playoffs,Game of Yards!,2024
Brown Munde,Didn't Make Playoffs,Game of Yards!,2024
Team Rodriguez,Champion,THE BEST OF THE BEST,2024
Team Rodriguez,2nd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,2nd,THE BEST OF THE BEST,2024
Team Rodriguez,3rd,THE BEST OF THE BEST,2024
Crazy Kat,3rd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,3rd,THE BEST OF THE BEST,2024
It HURTS being an Eagles fan ,3rd,THE BEST OF THE BEST,2024
Wu-Tangs Killabeez,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Terrell Suggs to be you,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Dirty Tone and  The Boys,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Peter Pan + the Lost Boys ,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
I'm Batman,Champion,0755 Fantasy Football,2024
Division iPad,2nd,0755 Fantasy Football,2024
I'm Batman,2nd,0755 Fantasy Football,2024
Division iPad,3rd,0755 Fantasy Football,2024
I'm Batman,3rd,0755 Fantasy Football,2024
All my homies hate Dallas,3rd,0755 Fantasy Football,2024
3rd World Immigrant,3rd,0755 Fantasy Football,2024
Dak Stinks,Didn't Make Playoffs,0755 Fantasy Football,2024
Bye,Didn't Make Playoffs,0755 Fantasy Football,2024
Olave Another,Didn't Make Playoffs,0755 Fantasy Football,2024
Book of MoreMoms,Champion,Pennoni Younglings,2023
Bli Erinker,2nd,Pennoni Younglings,2023
Book of MoreMoms,2nd,Pennoni Younglings,2023
Team Cogs,3rd,Pennoni Younglings,2023
19th St Halal Cart,3rd,Pennoni Younglings,2023
Book of MoreMoms,3rd,Pennoni Younglings,2023
Bli Erinker,3rd,Pennoni Younglings,2023
I'd_Tap_ That,Didn't Make Playoffs,Pennoni Younglings,2023
PAI India Division Manager,Didn't Make Playoffs,Pennoni Younglings,2023
The Golden Receivers,Didn't Make Playoffs,Pennoni Younglings,2023
PAI Alcoholics Anonymous ,Didn't Make Playoffs,Pennoni Younglings,2023
THE BIGMADBLUE,Champion,Game of Yards!,2023
Pain Inflictors,2nd,Game of Yards!,2023
THE BIGMADBLUE,2nd,Game of Yards!,2023
Kelce You Again!,Didn't Make Playoffs,Game of Yards!,2023
Run CMC,Didn't Make Playoffs,Game of Yards!,2023
Wakanda Forever,Didn't Make Playoffs,Game of Yards!,2023
Bye,Didn't Make Playoffs,Game of Yards!,2023
Brown Munde,Didn't Make Playoffs,Game of Yards!,2023
Pleasant Valley Panthers,Champion,EBC League,2024
Pleasant Valley Panthers,2nd,EBC League,2024
The Hungry Dogs,2nd,EBC League,2024
Pleasant Valley Panthers,3rd,EBC League,2024
The Hungry Dogs,3rd,EBC League,2024
First down syndrome ,3rd,EBC League,2024
Bryson Stott Fan Club,3rd,EBC League,2024
JanSteez,Didn't Make Playoffs,EBC League,2024
Inter Miami CF,Didn't Make Playoffs,EBC League,2024
Bye,Didn't Make Playoffs,EBC League,2024
THE BIGMADBLUE,Champion,Game of Yards!,2023
Pain Inflictors,2nd,Game of Yards!,2023
THE BIGMADBLUE,2nd,Game of Yards!,2023
Kelce You Again!,Didn't Make Playoffs,Game of Yards!,2023
Run CMC,Didn't Make Playoffs,Game of Yards!,2023
Wakanda Forever,Didn't Make Playoffs,Game of Yards!,2023
Bye,Didn't Make Playoffs,Game of Yards!,2023
Brown Munde,Didn't Make Playoffs,Game of Yards!,2023
Numb Nutz - CHAMP,Champion,Family Fantasy,2024
Numb Nutz - CHAMP,2nd,Family Fantasy,2024
For Me to Poop on,2nd,Family Fantasy,2024
Golden Receivers,3rd,Family Fantasy,2024
Oh My Josh,3rd,Family Fantasy,2024
For Me to Poop on,3rd,Family Fantasy,2024
Numb Nutz - CHAMP,3rd,Family Fantasy,2024
Gabe's Grand Team,Didn't Make Playoffs,Family Fantasy,2024
lawrence's Loud Team,Didn't Make Playoffs,Family Fantasy,2024
Skibidi Rizzlers,Didn't Make Playoffs,Family Fantasy,2024
Bye,Didn't Make Playoffs,Family Fantasy,2024
Pleasant Valley Panthers,Champion,EBC League,2024
Pleasant Valley Panthers,2nd,EBC League,2024
The Hungry Dogs,2nd,EBC League,2024
Pleasant Valley Panthers,3rd,EBC League,2024
The Hungry Dogs,3rd,EBC League,2024
First down syndrome ,3rd,EBC League,2024
Bryson Stott Fan Club,3rd,EBC League,2024
JanSteez,Didn't Make Playoffs,EBC League,2024
Inter Miami CF,Didn't Make Playoffs,EBC League,2024
Bye,Didn't Make Playoffs,EBC League,2024
THE POOL,Champion,EBC League,2023
Bryson Stott Fan Club,2nd,EBC League,2023
THE POOL,2nd,EBC League,2023
Riley  Read option,3rd,EBC League,2023
THE POOL,3rd,EBC League,2023
Inter Miami CF,3rd,EBC League,2023
Bryson Stott Fan Club,3rd,EBC League,2023
Abyss Diamond Eyes,Didn't Make Playoffs,EBC League,2023
Wut happened uh 🤷🏽‍♂️,Didn't Make Playoffs,EBC League,2023
Bye,Didn't Make Playoffs,EBC League,2023
THE BIGMADBLUE,Champion,Game of Yards!,2023
Pain Inflictors,2nd,Game of Yards!,2023
THE BIGMADBLUE,2nd,Game of Yards!,2023
Kelce You Again!,Didn't Make Playoffs,Game of Yards!,2023
Run CMC,Didn't Make Playoffs,Game of Yards!,2023
Wakanda Forever,Didn't Make Playoffs,Game of Yards!,2023
Bye,Didn't Make Playoffs,Game of Yards!,2023
Brown Munde,Didn't Make Playoffs,Game of Yards!,2023
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The Hungry Dogs,Champion,EBC League,2022
Champagne  Papi ,2nd,EBC League,2022
The Hungry Dogs,2nd,EBC League,2022
Seigaku FC,3rd,EBC League,2022
Wut happened uh 🤷🏽‍♂️,3rd,EBC League,2022
The Hungry Dogs,3rd,EBC League,2022
Champagne  Papi ,3rd,EBC League,2022
Riley  Read option,Didn't Make Playoffs,EBC League,2022
Pitman MaleManipulator,Didn't Make Playoffs,EBC League,2022
Bye,Didn't Make Playoffs,EBC League,2022
Still Rollin',Champion,Brown Munde,2023
NoHalfSends,2nd,Brown Munde,2023
Still Rollin',2nd,Brown Munde,2023
Killler jatt ,3rd,Brown Munde,2023
Still Rollin',3rd,Brown Munde,2023
Team Padodara,3rd,Brown Munde,2023
NoHalfSends,3rd,Brown Munde,2023
Green,Didn't Make Playoffs,Brown Munde,2023
Eks Gonna Give It To Ya!,Didn't Make Playoffs,Brown Munde,2023
Bye,Didn't Make Playoffs,Brown Munde,2023
The  Dream crusher,Champion,THE BEST OF THE BEST,2022
the   jadey bunch,2nd,THE BEST OF THE BEST,2022
The  Dream crusher,2nd,THE BEST OF THE BEST,2022
the   jadey bunch,3rd,THE BEST OF THE BEST,2022
The  Dream crusher,3rd,THE BEST OF THE BEST,2022
Crazy Kat,3rd,THE BEST OF THE BEST,2022
Wu-Tangs Killabeez,3rd,THE BEST OF THE BEST,2022
Lucky #13s,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Breece’s  Pieces,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2022
The Truth Hurts,Didn't Make Playoffs,THE BEST OF THE BEST,2022
The Chase is on,Champion,Game of Yards!,2024
The Chase is on,2nd,Game of Yards!,2024
Team HebAchi,2nd,Game of Yards!,2024
Groot-o-Matic,Didn't Make Playoffs,Game of Yards!,2024
Cooper Troopers,Didn't Make Playoffs,Game of Yards!,2024
Pain Inflictors,Didn't Make Playoffs,Game of Yards!,2024
Bye,Didn't Make Playoffs,Game of Yards!,2024
Brown Munde,Didn't Make Playoffs,Game of Yards!,2024
Philadelphia British Army,Champion,Pennoni Younglings,2022
Philadelphia British Army,2nd,Pennoni Younglings,2022
The Golden Receivers,2nd,Pennoni Younglings,2022
Team Cogs,3rd,Pennoni Younglings,2022
The Golden Receivers,3rd,Pennoni Younglings,2022
PAI Alcoholics Anonymous ,3rd,Pennoni Younglings,2022
Philadelphia British Army,3rd,Pennoni Younglings,2022
Book of MoreMoms,Didn't Make Playoffs,Pennoni Younglings,2022
Rizzo's Crash Test Dummy,Didn't Make Playoffs,Pennoni Younglings,2022
19th St Halal Cart,Didn't Make Playoffs,Pennoni Younglings,2022
Came and Wentz,Didn't Make Playoffs,Pennoni Younglings,2022
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Still Rollin',Champion,Brown Munde,2023
NoHalfSends,2nd,Brown Munde,2023
Still Rollin',2nd,Brown Munde,2023
Killler jatt ,3rd,Brown Munde,2023
Still Rollin',3rd,Brown Munde,2023
Team Padodara,3rd,Brown Munde,2023
NoHalfSends,3rd,Brown Munde,2023
Green,Didn't Make Playoffs,Brown Munde,2023
Eks Gonna Give It To Ya!,Didn't Make Playoffs,Brown Munde,2023
Bye,Didn't Make Playoffs,Brown Munde,2023
The  Dream crusher,Champion,THE BEST OF THE BEST,2022
the   jadey bunch,2nd,THE BEST OF THE BEST,2022
The  Dream crusher,2nd,THE BEST OF THE BEST,2022
the   jadey bunch,3rd,THE BEST OF THE BEST,2022
The  Dream crusher,3rd,THE BEST OF THE BEST,2022
Crazy Kat,3rd,THE BEST OF THE BEST,2022
Wu-Tangs Killabeez,3rd,THE BEST OF THE BEST,2022
Lucky #13s,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Breece’s  Pieces,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2022
The Truth Hurts,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Pure Mature,Champion,EBC League,2021
Hungry Dogs,2nd,EBC League,2021
Pure Mature,2nd,EBC League,2021
Hungry Dogs,3rd,EBC League,2021
Pure Mature,3rd,EBC League,2021
Pleasant Valley Panthers,3rd,EBC League,2021
Pitman OBJYN,3rd,EBC League,2021
Seigaku FC,Didn't Make Playoffs,EBC League,2021
Abyss Diamond Eyes,Didn't Make Playoffs,EBC League,2021
Bye,Didn't Make Playoffs,EBC League,2021
Still Rollin',Champion,Brown Munde,2023
NoHalfSends,2nd,Brown Munde,2023
Still Rollin',2nd,Brown Munde,2023
Killler jatt ,3rd,Brown Munde,2023
Still Rollin',3rd,Brown Munde,2023
Team Padodara,3rd,Brown Munde,2023
NoHalfSends,3rd,Brown Munde,2023
Green,Didn't Make Playoffs,Brown Munde,2023
Eks Gonna Give It To Ya!,Didn't Make Playoffs,Brown Munde,2023
Bye,Didn't Make Playoffs,Brown Munde,2023
Philadelphia British Army,Champion,Pennoni Younglings,2022
Philadelphia British Army,2nd,Pennoni Younglings,2022
The Golden Receivers,2nd,Pennoni Younglings,2022
Team Cogs,3rd,Pennoni Younglings,2022
The Golden Receivers,3rd,Pennoni Younglings,2022
PAI Alcoholics Anonymous ,3rd,Pennoni Younglings,2022
Philadelphia British Army,3rd,Pennoni Younglings,2022
Book of MoreMoms,Didn't Make Playoffs,Pennoni Younglings,2022
Rizzo's Crash Test Dummy,Didn't Make Playoffs,Pennoni Younglings,2022
19th St Halal Cart,Didn't Make Playoffs,Pennoni Younglings,2022
Came and Wentz,Didn't Make Playoffs,Pennoni Younglings,2022
Pure Mature,Champion,EBC League,2021
Hungry Dogs,2nd,EBC League,2021
Pure Mature,2nd,EBC League,2021
Hungry Dogs,3rd,EBC League,2021
Pure Mature,3rd,EBC League,2021
Pleasant Valley Panthers,3rd,EBC League,2021
Pitman OBJYN,3rd,EBC League,2021
Seigaku FC,Didn't Make Playoffs,EBC League,2021
Abyss Diamond Eyes,Didn't Make Playoffs,EBC League,2021
Bye,Didn't Make Playoffs,EBC League,2021
Still Rollin',Champion,Brown Munde,2023
NoHalfSends,2nd,Brown Munde,2023
Still Rollin',2nd,Brown Munde,2023
Killler jatt ,3rd,Brown Munde,2023
Still Rollin',3rd,Brown Munde,2023
Team Padodara,3rd,Brown Munde,2023
NoHalfSends,3rd,Brown Munde,2023
Green,Didn't Make Playoffs,Brown Munde,2023
Eks Gonna Give It To Ya!,Didn't Make Playoffs,Brown Munde,2023
Bye,Didn't Make Playoffs,Brown Munde,2023
Team BB,Champion,Brown Munde,2024
Team BB,2nd,Brown Munde,2024
NoHalfSends,2nd,Brown Munde,2024
Still Rollin',3rd,Brown Munde,2024
Team BB,3rd,Brown Munde,2024
NoHalfSends,3rd,Brown Munde,2024
THE BIGMADBLUE,3rd,Brown Munde,2024
Bhals,Didn't Make Playoffs,Brown Munde,2024
Bye,Didn't Make Playoffs,Brown Munde,2024
Meet the Nabers,Didn't Make Playoffs,Brown Munde,2024
Team BB,Champion,Brown Munde,2024
Team BB,2nd,Brown Munde,2024
NoHalfSends,2nd,Brown Munde,2024
Still Rollin',3rd,Brown Munde,2024
Team BB,3rd,Brown Munde,2024
NoHalfSends,3rd,Brown Munde,2024
THE BIGMADBLUE,3rd,Brown Munde,2024
Bhals,Didn't Make Playoffs,Brown Munde,2024
Bye,Didn't Make Playoffs,Brown Munde,2024
Meet the Nabers,Didn't Make Playoffs,Brown Munde,2024
THE BIGMADBLUE,Champion,Game of Yards!,2023
Pain Inflictors,2nd,Game of Yards!,2023
THE BIGMADBLUE,2nd,Game of Yards!,2023
Kelce You Again!,Didn't Make Playoffs,Game of Yards!,2023
Run CMC,Didn't Make Playoffs,Game of Yards!,2023
Wakanda Forever,Didn't Make Playoffs,Game of Yards!,2023
Bye,Didn't Make Playoffs,Game of Yards!,2023
Brown Munde,Didn't Make Playoffs,Game of Yards!,2023
The Chase is on,Champion,Game of Yards!,2024
The Chase is on,2nd,Game of Yards!,2024
Team HebAchi,2nd,Game of Yards!,2024
Groot-o-Matic,Didn't Make Playoffs,Game of Yards!,2024
Cooper Troopers,Didn't Make Playoffs,Game of Yards!,2024
Pain Inflictors,Didn't Make Playoffs,Game of Yards!,2024
Bye,Didn't Make Playoffs,Game of Yards!,2024
Brown Munde,Didn't Make Playoffs,Game of Yards!,2024
Prahlad's Ghost,Champion,Pennoni Younglings,2024
The Golden Receivers,2nd,Pennoni Younglings,2024
Prahlad's Ghost,2nd,Pennoni Younglings,2024
Pho_King,3rd,Pennoni Younglings,2024
Partners for What's Possible,3rd,Pennoni Younglings,2024
Prahlad's Ghost,3rd,Pennoni Younglings,2024
The Golden Receivers,3rd,Pennoni Younglings,2024
PAI Alcoholics Anonymous ,Didn't Make Playoffs,Pennoni Younglings,2024
19th St Halal Cart,Didn't Make Playoffs,Pennoni Younglings,2024
Bye,Didn't Make Playoffs,Pennoni Younglings,2024
Came and Wentz,Didn't Make Playoffs,Pennoni Younglings,2024
The Hungry Dogs,Champion,EBC League,2022
Champagne  Papi ,2nd,EBC League,2022
The Hungry Dogs,2nd,EBC League,2022
Seigaku FC,3rd,EBC League,2022
Wut happened uh 🤷🏽‍♂️,3rd,EBC League,2022
The Hungry Dogs,3rd,EBC League,2022
Champagne  Papi ,3rd,EBC League,2022
Riley  Read option,Didn't Make Playoffs,EBC League,2022
Pitman MaleManipulator,Didn't Make Playoffs,EBC League,2022
Bye,Didn't Make Playoffs,EBC League,2022
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Team Rodriguez,Champion,THE BEST OF THE BEST,2024
Team Rodriguez,2nd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,2nd,THE BEST OF THE BEST,2024
Team Rodriguez,3rd,THE BEST OF THE BEST,2024
Crazy Kat,3rd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,3rd,THE BEST OF THE BEST,2024
It HURTS being an Eagles fan ,3rd,THE BEST OF THE BEST,2024
Wu-Tangs Killabeez,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Terrell Suggs to be you,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Dirty Tone and  The Boys,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Peter Pan + the Lost Boys ,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Team Rodriguez,Champion,THE BEST OF THE BEST,2024
Team Rodriguez,2nd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,2nd,THE BEST OF THE BEST,2024
Team Rodriguez,3rd,THE BEST OF THE BEST,2024
Crazy Kat,3rd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,3rd,THE BEST OF THE BEST,2024
It HURTS being an Eagles fan ,3rd,THE BEST OF THE BEST,2024
Wu-Tangs Killabeez,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Terrell Suggs to be you,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Dirty Tone and  The Boys,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Peter Pan + the Lost Boys ,Didn't Make Playoffs,THE BEST OF THE BEST,2024
3rd World Immigrant,Champion,0755 Fantasy Football,2023
3rd World Immigrant,2nd,0755 Fantasy Football,2023
"Baby Chark, Juju Juju ",2nd,0755 Fantasy Football,2023
3rd World Immigrant,3rd,0755 Fantasy Football,2023
"Baby Chark, Juju Juju ",3rd,0755 Fantasy Football,2023
Arm Pitts,3rd,0755 Fantasy Football,2023
Chicken Fried Chicken Meal,3rd,0755 Fantasy Football,2023
Here 4 fun,Didn't Make Playoffs,0755 Fantasy Football,2023
Bye,Didn't Make Playoffs,0755 Fantasy Football,2023
MOTHER MAY I,Didn't Make Playoffs,0755 Fantasy Football,2023
The  Dream crusher,Champion,THE BEST OF THE BEST,2022
the   jadey bunch,2nd,THE BEST OF THE BEST,2022
The  Dream crusher,2nd,THE BEST OF THE BEST,2022
the   jadey bunch,3rd,THE BEST OF THE BEST,2022
The  Dream crusher,3rd,THE BEST OF THE BEST,2022
Crazy Kat,3rd,THE BEST OF THE BEST,2022
Wu-Tangs Killabeez,3rd,THE BEST OF THE BEST,2022
Lucky #13s,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Breece’s  Pieces,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2022
The Truth Hurts,Didn't Make Playoffs,THE BEST OF THE BEST,2022
The Chase is on,Champion,Game of Yards!,2024
The Chase is on,2nd,Game of Yards!,2024
Team HebAchi,2nd,Game of Yards!,2024
Groot-o-Matic,Didn't Make Playoffs,Game of Yards!,2024
Cooper Troopers,Didn't Make Playoffs,Game of Yards!,2024
Pain Inflictors,Didn't Make Playoffs,Game of Yards!,2024
Bye,Didn't Make Playoffs,Game of Yards!,2024
Brown Munde,Didn't Make Playoffs,Game of Yards!,2024
Numb Nutz - CHAMP,Champion,Family Fantasy,2024
Numb Nutz - CHAMP,2nd,Family Fantasy,2024
For Me to Poop on,2nd,Family Fantasy,2024
Golden Receivers,3rd,Family Fantasy,2024
Oh My Josh,3rd,Family Fantasy,2024
For Me to Poop on,3rd,Family Fantasy,2024
Numb Nutz - CHAMP,3rd,Family Fantasy,2024
Gabe's Grand Team,Didn't Make Playoffs,Family Fantasy,2024
lawrence's Loud Team,Didn't Make Playoffs,Family Fantasy,2024
Skibidi Rizzlers,Didn't Make Playoffs,Family Fantasy,2024
Bye,Didn't Make Playoffs,Family Fantasy,2024
Pure Mature,Champion,EBC League,2021
Hungry Dogs,2nd,EBC League,2021
Pure Mature,2nd,EBC League,2021
Hungry Dogs,3rd,EBC League,2021
Pure Mature,3rd,EBC League,2021
Pleasant Valley Panthers,3rd,EBC League,2021
Pitman OBJYN,3rd,EBC League,2021
Seigaku FC,Didn't Make Playoffs,EBC League,2021
Abyss Diamond Eyes,Didn't Make Playoffs,EBC League,2021
Bye,Didn't Make Playoffs,EBC League,2021
I'm Batman,Champion,0755 Fantasy Football,2024
Division iPad,2nd,0755 Fantasy Football,2024
I'm Batman,2nd,0755 Fantasy Football,2024
Division iPad,3rd,0755 Fantasy Football,2024
I'm Batman,3rd,0755 Fantasy Football,2024
All my homies hate Dallas,3rd,0755 Fantasy Football,2024
3rd World Immigrant,3rd,0755 Fantasy Football,2024
Dak Stinks,Didn't Make Playoffs,0755 Fantasy Football,2024
Bye,Didn't Make Playoffs,0755 Fantasy Football,2024
Olave Another,Didn't Make Playoffs,0755 Fantasy Football,2024
Philadelphia British Army,Champion,Pennoni Younglings,2022
Philadelphia British Army,2nd,Pennoni Younglings,2022
The Golden Receivers,2nd,Pennoni Younglings,2022
Team Cogs,3rd,Pennoni Younglings,2022
The Golden Receivers,3rd,Pennoni Younglings,2022
PAI Alcoholics Anonymous ,3rd,Pennoni Younglings,2022
Philadelphia British Army,3rd,Pennoni Younglings,2022
Book of MoreMoms,Didn't Make Playoffs,Pennoni Younglings,2022
Rizzo's Crash Test Dummy,Didn't Make Playoffs,Pennoni Younglings,2022
19th St Halal Cart,Didn't Make Playoffs,Pennoni Younglings,2022
Came and Wentz,Didn't Make Playoffs,Pennoni Younglings,2022
Pure Mature,Champion,EBC League,2021
Hungry Dogs,2nd,EBC League,2021
Pure Mature,2nd,EBC League,2021
Hungry Dogs,3rd,EBC League,2021
Pure Mature,3rd,EBC League,2021
Pleasant Valley Panthers,3rd,EBC League,2021
Pitman OBJYN,3rd,EBC League,2021
Seigaku FC,Didn't Make Playoffs,EBC League,2021
Abyss Diamond Eyes,Didn't Make Playoffs,EBC League,2021
Bye,Didn't Make Playoffs,EBC League,2021
Numb Nutz - CHAMP,Champion,Family Fantasy,2024
Numb Nutz - CHAMP,2nd,Family Fantasy,2024
For Me to Poop on,2nd,Family Fantasy,2024
Golden Receivers,3rd,Family Fantasy,2024
Oh My Josh,3rd,Family Fantasy,2024
For Me to Poop on,3rd,Family Fantasy,2024
Numb Nutz - CHAMP,3rd,Family Fantasy,2024
Gabe's Grand Team,Didn't Make Playoffs,Family Fantasy,2024
lawrence's Loud Team,Didn't Make Playoffs,Family Fantasy,2024
Skibidi Rizzlers,Didn't Make Playoffs,Family Fantasy,2024
Bye,Didn't Make Playoffs,Family Fantasy,2024
The  Dream crusher,Champion,THE BEST OF THE BEST,2022
the   jadey bunch,2nd,THE BEST OF THE BEST,2022
The  Dream crusher,2nd,THE BEST OF THE BEST,2022
the   jadey bunch,3rd,THE BEST OF THE BEST,2022
The  Dream crusher,3rd,THE BEST OF THE BEST,2022
Crazy Kat,3rd,THE BEST OF THE BEST,2022
Wu-Tangs Killabeez,3rd,THE BEST OF THE BEST,2022
Lucky #13s,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Breece’s  Pieces,Didn't Make Playoffs,THE BEST OF THE BEST,2022
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2022
The Truth Hurts,Didn't Make Playoffs,THE BEST OF THE BEST,2022
I'm Batman,Champion,0755 Fantasy Football,2024
Division iPad,2nd,0755 Fantasy Football,2024
I'm Batman,2nd,0755 Fantasy Football,2024
Division iPad,3rd,0755 Fantasy Football,2024
I'm Batman,3rd,0755 Fantasy Football,2024
All my homies hate Dallas,3rd,0755 Fantasy Football,2024
3rd World Immigrant,3rd,0755 Fantasy Football,2024
Dak Stinks,Didn't Make Playoffs,0755 Fantasy Football,2024
Bye,Didn't Make Playoffs,0755 Fantasy Football,2024
Olave Another,Didn't Make Playoffs,0755 Fantasy Football,2024
Philadelphia British Army,Champion,Pennoni Younglings,2022
Philadelphia British Army,2nd,Pennoni Younglings,2022
The Golden Receivers,2nd,Pennoni Younglings,2022
Team Cogs,3rd,Pennoni Younglings,2022
The Golden Receivers,3rd,Pennoni Younglings,2022
